,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
173,Calvin Klein,Obsession,120,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3
174,Lattafa,Sheikh Al Shuyukh,32.75,50,EDP,Unisex,Aromatic,"Vetiver, Patchouli","Lavender Sage, Rosemary",4.8
175,Dolce & Gabbana,The One,100,75,EDP,Women,Fruity,"Tobacco, Amber, Cedar","Orange Blossom, Ginger, Cardamom",5
176,Kenzo,World Intense,149.75,75,EDP,Women,Spicy,Vanilla,"Jasmine, Peony",4
177,Dolce & Gabbana,L' Imperatrice 3,157.7,100,EDT,Women,Fruity,"Lemon Tree, Musk, Sandalwood","Watermelon, Cyclamen, Jasmine",4.7
178,JAGUAR,Vision II,73.8,100,EDT,Men,Fruity,"Cedar, Musk, Patchouli, Wood","Geranium, Pepper, Sea Notes",5
179,Mariah Carey,Forever,126,100,EDP,Women,Floral,"Musk, Wood","Gardenia, Tuberose",4
180,BURBERRY,Brit Splash,194,100,EDT,Men,Fresh,"Moss, Musk, Vetiver","Cyclamen, Violet, Water Notes",4.6
181,PRADA,Amber Intense,321.95,100,EDP,Men,Spicy,Creamy Amber,Vanilla,4.4
182,Milton Lloyd,Hawaii London,23,55,EDT,Women,Floral,Woody Notes and Musk,Jasmine and Rose,4
183,Lattafa,Khalis Pure Oudi,37,100,EDP,Unisex,Woody,"Amber, Cedar, Guaiac Wood, Musk, Vanilla","Jasmine, Sandalwood",4.3
184,GUESS,Marciano,83.3,100,EDP,Women,Citrus,"Vanilla, Musk And Woody Accords","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",4.4
185,DORALL COLLECTION,Oud Arabi,11.35,100,PDT,Unisex,Woody,"Patchouli, sandalwood, musk, amber","Oudh, rose, guaiac wood, jasmine",3.9
186,COACH,Coach,8.7,2,EDP,Women,Floral,"Cashmeran, Suede, Musk","Turkish Rose, Gardenia",4.8
187,Mancera,Coco Vanille,285,120,EDP,Women,Vanilla,"White Musk, Woody Notes, Madagascar Vanilla","Jasmine, Ylang-Ylang, Tiare Flower",5
188,BURBERRY,Weekend,160,100,EDP,Women,Oriental,"Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen and Blue Hyacinth","Violet Root, Iris, Nectarine, Peach Blossom, Rose Hip Red Cyclamen, Blue Hyacinth",4.6
189,Estee Lauder,Private Collection,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber and Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang and Coriander",4.6
190,Marbert,Man Pure,54.7,125,EDT,Men,Citrus,"Oak Moss, Cedar, Sandalwood, Amber And Musk","Geranium, Jasmine, Lily Of The Valley, Majorjam, Coriander And Nutmeg",4.9
191,AMOUAGE,Gold,904.85,100,EDP,Women,Woody,"Ambergris, Civet, Musk, Cedar Wood, Sandalwood","Myrrh, Orris, Jasmine",4.4
192,Givenchy,Gentlemen Only,260,100,EDT,Men,Woody,Skin Accord And Tonka Bean,"Cedar Wood, Patchouli Heart And Leather",4
193,JAGUAR,Classic Amber,85,100,EDT,Men,Arabian,"Cedar Wood, Patchouli, Vanilla, Leather, Vetiver, Labdanum and Musk","Cinnamon,Black Pepper,Apple,Orange Blossoms and Elemi Resin",4.3
194,AIGNER,Debut,143.75,100,EDP,Women,Citrus,"Patchouli, Cedar, Vanilla, White Musk And Oak Moss","Luminous Orange Blossom, Water Lily, Jasmine And Sunflower Seed",4.5
195,J.CASANOVA,Pandora,88.95,100,EDP,Women,Floral,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",5
196,Roberto Cavalli,Serpentine,162.85,100,EDP,Women,Arabian,"Tolu Balsam, Sandalwood, Amber","Violet Leaf, Tiare Flower, Pepper, Frangipani",4.4
197,BVLGARI,Man in Black,200.95,100,EDP,Men,Woody,"Benzoin, Guaiac Wood and Tonka Beans","Iris, Leather and Tuberose",4.7
198,MONTBLANC,Lady Emblem,8.5,2,EDT,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",5
199,Al Fakhr,Ameer Al Oud Khususi,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1
200,LACOSTE,Touch Of Pink,90,90,EDT,Women,Floral,"Sandalwood, Musk, Vanilla","Carrot Seeds, Coriander, Jasmine, Violet Leaf, Cardamom",5
201,Dior,Addict,333.8,100,EDP,Women,Floral,"Amber, Caramel, Vanilla, Sandalwood and Pralines","Honeysuckle, Gardenia, and Jasmine",5
202,BURBERRY,My Burberry Bl,255.85,90,EDT,Women,Floral,Amber And Patchouli,Candied Rose And Peach Nectar,5
203,joop,Homme,52.15,75,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Patchouli, Vanilla","Jasmine, Heliotrope, Lily-Of-The-Valley, Cardamom, Cinnamon",4.7
204,TED LAPIDUS,Creation,50,100,EDT,Women,Floral,"Jasmine, Rose, Tuberose, Carnation","Jasmine, Rose, Tuberose, Carnation",4.7
205,LOEWE,Esencia,219.9,150,EDT,Men,Woody,"Tonka Bean,Leather,Sandalwood,Fir,Amber,Patchouli,Musk,Oakmoss,Vetiver,Cedar,Styrax","Clary Sage,Nutmeg,Basil,Jasmine,Neroli,Lily Of The Valley,Rose,Pine Tree Needles,Geranium,Black Currant",5
206,Benetton,Hot,29.85,100,EDT,Women,Fruity,"Sandalwood, Amber, Musk, Vanilla, Oak Moss And Cedar","Apricot, Iris, Water Jasmine And Lily Of The Valley",5
207,KORLOFF,In White,100.15,88,EDT,Men,Citrus,"Cashmeran, Virginia Cedar, Musk and Tonka Bean","Lavender, African Orange Flower and Clary Sage",4.8
208,LACOSTE,Lacoste,98.95,50,EDP,Women,Floral,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense",Heliotrope and Jasmine In An Alliance with Hibiscus Blossom and Bulgarian Rose,4.6
209,LACOSTE,Lacoste,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla And Musk","Black Pepper, Ginger, Jasmine And Almond",4.6
210,Sedr Al-Khaleej Perfumes,Love Touch,49.85,100,EDP,Women,Fresh,"Woody Leather, Musk","Tiare Flower, Rose",5
211,BURBERRY,My Burberry Blush,199.9,90,EDP,Women,Arabian,Jasmine and Wisteria,"Rose petals, Green apple and Geranium",4.5
212,Lattafa,Rouat Al Oud,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3
213,LANVIN,Rumeur,71,100,EDP,Women,Floral,"Amber, Patchouli, Musk","Orange Blossom, Plum, Rose, Jasmine, Lily Of The Valley",5
214,GUCCI,Oud,380,75,EDP,Women,Spicy,Natural Oud Oil And Patchouli,Bulgarian Rose And Orange Flower,4.2
215,CHLOE,Love Story,237,50,EDP,Men,Floral,"Sandalwood, Amber, Musk, Vetiver and Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-of-the-Valley and Geranium",4
216,TED LAPIDUS,Rumba,58,100,EDT,Women,Floral,"Ambergris, vanilla, leather tonka bean, patchouli, musk, sandalwood, cedar, plum, styrax, oakmoss","Honey, jasmine, tuberose, carnation, heliotrope, magnolia, gardenia lily of the valley, orchid, marigold, rose",3.3
217,AMOUAGE,Honour,710.95,100,EDP,Women,Spicy,"Patchouli, Cedar, Vetiver, Frankincense, Musk, Tonka Bean","Geranium, Elemi, Nutmeg",5
218,Jimmy Choo,jimmy,188.95,100,EDP,Women,Floral,"Coffee, patchouli",Orchid,5
219,Rasasi,Blue,35,100,EDT,Men,Spicy,"Amber, Woody","Coriander, Geranium, Jasmine, Rose and Pepper",4.3
220,Dunhill,Desire Silver,118.95,100,EDT,Men,Floral,"Birch, Vetiver, Amber","Water Notes, Violet Leaf, Cardamom",5
221,Calvin Klein,Euphoria Amber Gold,166,100,EDP,Unisex,Arabian,"Lemon, Mint and Wood Moss",Sandalwood and Cedar,5
222,Britney Spears,Fantasy,89.95,100,EDP,Women,Floral,"Creamy Musk, Orris Root, Sensual Woods","Cupcakes, White Chocolate Orchid, Jasmine Petals",5
223,GUCCI,Guilty Absolute,299.85,90,EDP,Men,Woody,Woody Notes and Vetiver,Patchouli and Cypress,4.3
224,joop,Homme,57,125,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",4.2
225,Calvin Klein,Obsession,120,125,EDT,Men,Spicy,"Amber, Sandalwood, Patchouli, Vanilla And Musk","Brazilian Rosewood, Sage, Myrrh, Pine Tree And Nutmeg",3
226,GUESS,Guess Pink,92.7,75,EDP,Women,Fruity,"Amber, Oakmoss And Cedar","Peony, Magnolia, Freesia, Peach, Jasmine, Ylang Ylang And Lily Of The Valley",5
227,Calvin Klein,One Shock,104.7,200,EDT,Men,Spicy,"Vetiver, Sandalwood, Amber","Osmanthus, Black Pepper, Cardamom, Black Basil",5
228,Lancome,Idol,299,50,EDP,Women,Floral,"White Musk, Vanilla","Turkish Rose, Rose De Mai Indian and Jasmine",5
229,Dolce & Gabbana,The Only One 2,137.9,100,EDP,Women,Floral,"Tonka, Patchouli, Ambergris, Amber Woods","Red Rose, Violet, Coffee",4.3
230,CARTIER,Declaration,240,100,EDP,Men,Fruity,"Cedar, Leather, Amberwood, BenzoinTolu,  Balsam Vetiver","Cardamom, Spices, Cumin",5
231,Marbert,Man,51.95,125,EDT,Men,Woody,"Musk, Sandalwood, Patchouli, Oak Moss, Virginia Cedar, Amber and Leather","Geranium,Jasmine,Lily Of The Valley,Majorjam,Coriander,Nutmeg",5
232,Calvin Klein,One Shock,106,200,EDT,Men,Spicy,"Musk, Patchouli, Amber, and Tobacco","Black Pepper, Lively Black Basil and Resinous Cardamom",5
233,BURBERRY,Brit Rhythm Intense,136.65,90,EDT,Men,Spicy,"Cashmere Wood,Coumarin,Guaiac Wood,Leather,Sandalwood,Tonka Beans,Vanilla","Amber,Basil,Lavender,Mint,Patchouli",4.6
234,UNITED COLORS OF BENETTON,Cold Silver,29.35,100,EDT,Men,Fresh,"Silver Moss, Mineral Amber and Musk","Cardamom, Silver Sage and Driftwood",4.8
235,Lancome,Miracle,242,100,EDP,Women,Arabian,"Amber, Musk, Jasmine","Magnolia, Ginger, Mandarin Orange, Pepper, Jasmine",5
236,CHOPARD,Rose Malaki,189.95,80,EDP,Women,Spicy,"Cedarwood, Patchouli and Vanilla","Rose Absolu, Rose Petal Accord and Smoky Leather",4.3
237,LACOSTE,Blanc Pour Homme,95,100,EDT,Men,Woody,"Leather, Suede And Cedar",Mexican Tuberose And Ylang-Ylang,5
238,JAGUAR,Classic Red,64.95,100,EDT,Men,Fruity,"Patchouli, Cedar, Amber, Tonka, Vanilla","Jasmine, Pepper, Ozonic Notes",4.4
239,Lancome,La Vie Est Belle,233.95,50,EDP,Women,Floral,"Patchouli, Tonka Bean, Vanilla, Praline","Iris, jasmine, Orange Blossom",5
240,Givenchy,Dahlia Divin Nude,300,75,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5
241,Dolce & Gabbana,The One,190,100,EDT,Men,Spicy,"Ambery, Cedar wood","Cardamom, Ginger",4.7
242,Estee Lauder,Private Collection,199.35,50,EDP,Women,Floral,"Sandalwood, Heliotrope, Amber and Musk","Bulgarian Rose, Chrysanthemum, Reseda, Ylang-Ylang and Coriander",4.6
243,UNITED COLORS OF BENETTON,United Colors Of Benetton Hot,28,100,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla, Oakmoss, Cedar","Apricot, Iris, Water Jasmine, Lily-Of-The-Valley",4
244,UNITED COLORS OF BENETTON,Cold,27.2,100,EDT,Men,Spicy,"Patchouli, Vetiver and White Musk","Coriander, Lavender and Geranium",4.4
245,CAROLINA HERRERA,Ch Men Sports,115,50,EDT,Men,Woody,"Sandalwood, Oak Moss And Vetiver",Sea Notes Mixed With Spices And Aromatic Accords ? Sichuan Pepper And Juniper Berries,4.3
246,CHLOE,Nomade,290.1,75,EDP,Women,Floral,"Oakmoss, Amberwood, Patchoulli, Sandalwood, White Musk","Freesia, Jasmine, Rose, Peach",4.6
247,EMPORIO ARMANI,Stronger With You,154.8,100,EDT,Unisex,Floral,"Chestnut, vanilla, musk",Sage,3.5
248,Mancera,Cedrat Boise,253,120,EDP,Unisex,"Aromatic,Citrus","Leather,Oakmoss,Vanilla,Woody Notes",Patchouli Leaves,5
249,Dunhill,Edition,108.45,100,EDT,Men,Spicy,"Vetiver, Sandalwood, Cedar And Tonka Bean","Carnation, Geranium, Jasmine And Clary Sage",4.6
250,CARTIER,Pasha Edition Noir,198.55,100,EDT,Men,Oriental,Woody Amber And Cedar Accords,Warm And Cuddly Aromas,4.6
251,Givenchy,Blue Label,143.85,100,EDT,Men,Spicy,"Cedar, Olibanum and Vetiver","Cardamom, Lavender and Pepper",4.8
252,Dior,Joy,360,90,EDP,Women,Woody,"Sandalwood, Cedar Wood, Vanilla, Caramel Musk, Woody Accords","Jasmine, Rose, Muget, Freesia, Cinnamon",4
253,LALIQUE,Encre Noire,136,100,EDT,Men,Woody,"Musk, Cashmere Wood",Haitian and Bourbon Vetiver,4.5
254,Calvin Klein,CK One,98,100,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar, Oakmoss, Green Tea And Green Accord","Nutmeg, Violet, Orris Root, Lily-of-the-valley, Rose, Freesia, And Jasmine",4.5
255,PACO RABANNE,Black XS,310,100,EDT,Men,Woody,Black Amber And Patchouli,Praline And Cinnamon,4.3
256,AZZARO,Pour Homme,133,100,EDT,Men,Woody,"Leather, tonka bean, amber, musk, oakmoss","Sandalwood, juniper berries, patchouli, vetiver, cedar, cardamom",5
257,CERRUTI 1881,Cerruti,117,100,EDT,Men,Floral,"Musk, Sandalwood, Patchouli, Oakmoss, Cedar, Pepper And Pine Tree","Vetiver, Ylang-ylang, Rose, Lily-of-the-valley And Cassia",1
258,Rasasi,Relation,55,50,EDP,Women,Fresh,Musk and Vanilla,"Bulgarian Rose, Lilac and Jasmine",5
259,ESCADA,Magnetism,138.95,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver and Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-Of-The-Valley, Rose and Almond Blossom",5
260,BOUCHERON,Pour Homme,165.7,100,EDP,Men,Woody,Patchouli and Sandalwood,Coriander and Basil,4.5
261,DORALL COLLECTION,Eventful,8.3,100,EDT,Women,Woody,Musk,"Rose, Ylang - Ylang",4.5
262,Yves Saint Laurent,Body Kouros,229.35,100,EDT,Men,Woody,Benzoin,"Cedar, Sage",5
263,VERSACE,L'Homme,145,100,EDT,Men,Citrus,"Amber,Labdanum,Leather,Musk,Tonka Beans,Vanilla","Carnation,Cedar,Cinnamon,Jasmine,Patchouli,Rose,Sandalwood",4.2
264,ESCADA,Magnetism,139.4,75,EDP,Women,Arabian,"Sandalwood, Amber, Patchouli, Musk, Benzoin, Caramel, Vetiver, Vanilla","Magnolia, Iris, Green Leaves, Freesia, Basil, Jasmine, Caraway, Heliotrope, Lily-of-the-valley, Rose",4.9
265,BURBERRY,My Burberry Bl,255.85,90,EDT,Women,Floral,Amber And Patchouli,Candied Rose And Peach Nectar,5
266,DAVIDOFF,Cool Water,76.95,125,EDT,Men,Woody,"Amber, Cedar, Musk, Oakmoss, Tobacco","Geranium, Jasmine, Neroli, Sandalwood",4.5
267,joop,Go,103.95,100,EDT,Men,Fresh,Musk and Balsam Fir,"Cypress, Violet and Bourbon Geranium",4.4
268,Jacques Bogart,Silver Scent,55,100,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean and Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander and Geranium",4.5
269,Paris Hilton,Fairy Dust,94,100,EDP,Women,Floral,"Vanilla, Musk, Pacsuli","Peach,gardenia,lotus",3.7
270,PRIVE,Windsor,29.95,100,EDP,Women,Fruity,"Vanilla, Blackberry, Amber","Jasmine, Magnalio, Orange Bloosm",3
271,NARCISO RODRIGUEZ,Narciso,284.95,90,EDP,Women,Floral,"Vetiver, White Cedar Extract and Cedar","Musk, Gardenia, White Rose",5
272,Lattafa,Rouat Al Oud,44.25,100,EDP,Unisex,Spicy,"Cedarwood, Patchouli and Vetiver, Musk",Cardamom and Spicy Notes,4.3
273,Jimmy Choo,jimmy,185,100,EDT,Men,Fruity,"Amber, Patchouli, Suede","Geranium, Pineapple Leaf, Pink Pepper",4.4
274,MONTBLANC,Explorer,9.5,2,EDP,Men,Woody,"Vetiver, Leather, Cedarwood","Patchouli, Mahonial, Ambrofix",4.8
275,Calvin Klein,Euphoria,127.25,100,EDP,Men,Woody,"Black Violet, Liquid Amber, Mahogany, Cream Accords","Black Orchid, Champaca Flower",4.8
276,Ferrari,Man In Red,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",5
277,Yves Saint Laurent,Cinema,192.5,90,EDP,Women,Floral,"Vanilla, Amber, Benzoin, White Musk","Jasmine, Peony, Amaryllis",2
278,Ferrari,Scuderia Red,96.65,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss And Vanilla","Jasmine, Geranium, Orris And Nutmeg",5
279,Jacomo,Silences,143.95,100,EDP,Women,Floral,"Woody,musky","Danmask Rose,iris,narcissus",5
280,jil sander,Jil Sander,175,125,EDT,Men,Spicy,"Oakmoss, Cedar, Nutmeg, Woody Notes","Carnation, Geranium, Cinnamon, Patchouli",5
281,AMOUAGE,Interlude,716.8,100,EDP,Men,Fresh,"Leather, Agarwood Smoke, Patchouli, Sandalwood","Amber, Frankincense, Opoponax, Cistus, Myrrh",4
282,GUESS,Marciano,108.95,100,EDP,Women,Floral,"Powdery Vanilla, Musk And Woody Accord","Floral Rhythm Of Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",5
283,joop,Homme,57,125,EDT,Men,Citrus,"Patchouli, sandalwood, tonka beans, vanilla","Cardamom, cinnamon, heliotrope, jasmine, lily of the valley",4.2
284,Alina Corel,Nice Girl,28.45,90,EDP,Women,Fruity,"Amber, Vanilla, Musk","Jasmine, Tuberose",4
285,HUGO BOSS,Hugo Boss,95,125,EDT,Men,Fresh,"Patchouli, Fir, Cedar","Carnation, Sage, Geranium, Jasmine",4.5
286,MINI COLLECTION,Mini Collection No.1075,10,25,EDP,Unisex,Musk,wood,vanilla,5
287,Ajmal,Rain Drops,49.9,50,EDP,Women,Floral,Ambery Woody,Animalistic Floral,5
288,HUGO BOSS,Hugo,115,125,EDT,Men,Aromatic,"Cedar Wood, Fir, Patchouli","Carnation, Geranium, Jasmine, Sage",4.2
289,Calvin Klein,One Shock,102,200,EDT,Men,Spicy,"Amber, Patchouli, Woodsy Notes, Musk","Cardamom, Pepper, Basil, Osmanthus",4.7
290,CHANEL,Allure Sensuelle,480.6,100,EDP,Women,Arabian,"Amber, Patchouli, Vanilla And Musk","Jasmine, Rose, Iris, Candied Fruits And Vetiver",5
291,GIORGIO ARMANI,Eau De Cedre,470,100,EDT,Men,Woody,"Suede, Cedar Essence, Black Tea, Woody Notes","Violet Leaf, Cardamom and Cumin",4.7
292,Mancera,Red Tobacco,340,120,EDP,Men,Woody,"Precious Tobacco, Amber, Woody Notes, Vetiver, Vanilla Pods and White Musk","Patchouli Leaves, Jasmine",4.7
293,Jean Paul GAULTIER,Scandal,350,80,EDP,Women,Floral,"Sandalwood, Caramel, Beeswax, Patchouli","Honey, Peach, Orange Blossom, Jasmine, Gardenia",5
294,Jimmy Choo,Man Ice,204.9,100,EDT,Men,Woody,"Musk, moss, ambroxan","Vetiver, patchouli, cedar, apple",4.4
295,HUGO BOSS,Deep Red,179.8,90,EDP,Women,Oriental,"Sandalwood, California Cedar, Vanilla, Musk","Freesia, Ginger, Ginger Flower, Hibiscus Seed, Freesia, Tuberose",3
296,Calvin Klein,Escape,94.95,100,EDP,Women,Oriental,"Vanilla, Musk, Cedar, Sandalwood, Oakmoss, Amber, Vetiver","Carnation, Rose, Peach, Lily of the Valley, Jasmine, Cloves",5
297,DORALL COLLECTION,Dionysus,10.6,100,EDT,Men,Floral,"Aromatic Cedarwood, Tonka, Amber And Vetiver","Ozonic Tones With Geranium, Violet, Cool Eucalyptus And Crisp Green Apple",3
298,Genie,1029 Collection,17.8,40,EDP,Women,Fruity,"Vegetal Amber, Musk And Mahogany","Magnolia, Lotus And Peony",4.8
299,Lancome,La Vie Est Belle,217,75,EDP,Women,Vanilla,"Patchouli, Praline, Tonka Beans, Vanilla","Iris, Jasmine, Orange Tree Blossom",4.4
300,ANGEL SCHLESSER,Essential,83.7,50,EDP,Women,Clean,"Sandalwood, Musk, Vetiver And Cedar","Peony, Violet, Freesia And Bulgarian Rose",4.3
301,VERSACE,Oud Noir,260,100,EDP,Men,Woody,"Agarwood, Patchouli, Leatherwood","Cardamom, Saffron, Olibanum",4.5
302,Roberto Cavalli,cavalli,110,75,EDP,Women,Arabian,"Benzoin, Tonka Bean, Vanilla",African Orange Flower,5
303,CAROLINA HERRERA,212 VIP,258.7,200,EDT,Men,Vanilla,"King Wood, Salty Amber and Tonka Beans","Chilled Vodka, Hot Ginger and Slice Of Apple",4.4
304,CAROLINA HERRERA,Prive,140,100,EDT,Men,Aromatic,"Leather, Benzoin and Tonka",Luxurious Notes of Whiskey,4.3
305,ADOLFO DOMINGUEZ,Vetiver Hombre,110.25,120,EDT,Men,Floral,"Amber, Cedar, Leather, Vetiver, Patchouli and Roots","Jasmine, Lily and Clove",1
306,Fendi,Furiosa,184.5,100,EDP,Women,Floral,"Incense, Ga?ac Wood and Amber","Jasmine Absolute, Violaciocca Flower and Gardenia",4.2
307,jennifer lopez,Live,99.35,100,EDP,Women,Fruity,"Caramel, Sandalwood, Tonka Beans, Vanilla","Peony, Red Currant Blossom, Violet",4.5
308,Lattafa,Velvet Oud,56.75,100,EDP,Unisex,Floral,"Sandalwood, Tonka Bean, Amber, Patchouli, Musk, Oakmoss, Cedar And Tobacco.","Pine Tree, Honey, Orris Root, Jasmine, Caraway, Petitgrain, Lily-Of-The-Valley, Rose, Brazilian Rosewood And Incense",4
309,Guerlain,Habit Rouge,218.45,100,EDP,Men,Woody,"Labdanum, Leather, Amber, Benzoin, Oakmoss and Vanilla","Carnation, Sandalwood, Patchouli, Cinnamon, Jasmine, Cedar and Rose",4.5
310,AVON,Rare Pearls,70.5,50,EDP,Women,Floral,"Pearl Musk, Sandalwood, And Patchouli","Plum, Honey, Pepper, Pearlescent Flower Accord (magnolia And Broom Flower)",3
311,ROCHAS,Secret De Rochas,67,100,EDP,Women,Fruity,"Oakmoss, Sandalwood, Civet, Cedarwood, Musk, Orris, Tonka Bean","Osmanthus, Jasmine",3
312,jennifer lopez,Live Luxe,95,100,EDP,Women,Fresh,"diamond musk, soft musk","muguet petals, exotic amethyst freesia",5
313,Guerlain,Mon Florale,319,100,EDP,Women,Floral,"Vanilla, Iris, Sandalwood","Floral Notes, Peony, Jasmine Sambac, Ylang-Ylang, Neroli, Peach, Lily-Of-The-Valley",4.8
314,GUCCI,Guilty Intense,224,90,EDT,Men,Floral,"Patchouli, Virginia Cedar, Amber","African Orange Flower, Neroli",4.4
315,PRADA,Milano Infusion D'iris,338,100,EDP,Women,Woody,Incense And Benzoin,"Iris, Cedar And Vetiver",5
316,Michael Kors,kors,273,100,EDP,Women,Floral,"Musk, Cashmere Wood, Vetiver","Tuberose, Iris, Peony, Orris Root, Arum Lily",5
317,Yves Saint Laurent,L'Homme,338.3,100,EDP,Men,Woody,"Cedar, Benzoin And Suede Accord",Violet Leaf And Orange Blossom,5
318,Ajmal,Teenz,74.85,50,EDP,Women,Floral,"Floral, Fruity, Musky","Fruity, Musky",4.5
319,TED LAPIDUS,Creation,162,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood, veti","Gardenia, Jasmine, Tuberose, Daffodil, Rose, Ylang-ylang",4.3
320,BVLGARI,Goldea,200,90,EDP,Women,Arabian,"Musk,Amber,Patchouli,Papyrus","Ylang-Ylang, Jasmine, Musk",4.5
321,Revlon,Charlie Blue,34,100,EDT,Women,Woody,"A Mix Of Sandalwood, Oakmoss","Jasmine, Muguet, Rose, Ylang-Ylang",4.2
322,AZZARO,Chrome,143.7,100,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Musk, Oakmoss, Cedar, Brazilian Rosewood And Cardamom","Cyclamen, Coriander, Jasmine And Oakmoss",5
323,Calvin Klein,CK IN2U,82.2,100,EDT,Men,Citrus,"Amber, Red Cader, Vanilla",Cacao Pod,5
324,GUCCI,Premiere,292.95,75,EDP,Women,Floral,Patchouli and Sandalwood,Orange Blossom and Musk,2
325,CHANEL,Allure Homme Sport EDT For,423,100,EDP,Men,Citrus,"Tonka Bean, Atlas Cedar, Vetiver, White Musk And Pepper","Cedar,Neroli,Pepper",5
326,BVLGARI,Aqva Marine Pour Homme,163.95,100,EDT,Men,Citrus,"Virginia Cedar, Amber","Seaweed, Rosemary, Water Notes",4.8
327,VERSACE,Dylan Blue,38,5,EDT,Men,Arabian,"Musk, Tonka Bean, Incense, Saffron","Violet Leaves, Papyrus Wood , Patchouli, Black Pepper and Ambergris",4.2
328,Jacques Bogart,Silver Scent,55,100,EDT,Men,Arabian,"Vetiver, Litchi, Tonka Bean and Teak Wood","Cardamom, Rosemary, Nutmeg, Lavender, Coriander and Geranium",4.5
329,GIORGIO ARMANI,Si,232.9,100,EDP,Women,Floral,"Patchouli, Woods, Amber, Orcanox, Vanilla","Rose de Mai, Neroli, Egyptian Jasmine, Freesia",5
330,AIGNER,Debut Night,172.8,100,EDP,Women,Floral,"Cedar , Vanilla , Raspberry","Orange Blossom , Rose, Water Lily",5
331,BVLGARI,Omnia Crystalline,279,65,EDT,Women,Woody,"White Sandalwood, Benzoin From Siam And Musks","Lotus Flower, Orris Concrete And Heliotrope",5
332,Lancome,Id?le ED,14.95,2,EDT,Women,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",5
333,Ard Al Zaafaran,Oud Sharqia,18.4,80,EDP,Unisex,Arabian,Sweet Wood,Citric,4.4
334,PACO RABANNE,1 Million Lucky,267.15,100,EDT,Men,Woody,"Oakmoss, Patchouli, Vetiver","Cashmere Wood, Cedar Wood, Hazelnut, Honey, Jasmine",4.5
335,VERSACE,Eros,369.7,200,EDT,Men,Arabian,"Cedar, Oakmoss, Vanilla, Vetiver","Ambroxan, Geranium, Tonka Beans",4.9
336,Calvin Klein,Reveal,169,100,EDP,Women,Floral,"Vetiver, Sandalwood, Cashmere And Musk",Powdery Iris And Ambergris,4.4
337,GUCCI,Bloom Nettare Di Fiori,318.8,100,EDP,Women,Floral,"Patchouli, Musks And Osmanthus","Tuberose,Honeysuckle,Jasmine",5
338,LANVIN,Lanvin,113,100,EDT,Men,Woody,"Sandalwood, Amber, Musk, Vanilla","Pepper, Mint, Sage, Cardamom",5
339,HUGO BOSS,Femme,139.35,75,EDP,Women,Floral,"Apricot, Amber, Lemon Tree","Lily, Jasmine, Bulgarian Rose",4.8
340,Britney Spears,Fantasy,99,100,EDP,Women,Floral,"Creamy Musk, Orris Root And Sensual Woods","Cupcake, Jasmine And White Chocolate Orchid",4.5
341,ELIE SAAB,Royal,239.75,90,EDP,Women,Floral,"Indonesian Patchouli Essence, Indian Sandalwood, Amber, Vanilla","Turkish Rose Absolute, Bulgarian Rose Absolute, Lebanese Neroli",5
